127.0.0.1 - - [02/Apr/2016:15:49:39 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:00 +0700] "GET /spring-mvc-hibernate/student/info?student_id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:01 +0700] "GET /spring-mvc-hibernate/login HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:01 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:01 +0700] "GET /spring-mvc-hibernate/resources/css/login.css HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:01 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:01 +0700] "GET /spring-mvc-hibernate/resources/css/login.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:02 +0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:16 +0700] "POST /spring-mvc-hibernate/login HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:16 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:16 +0700] "GET /spring-mvc-hibernate/resources/css/login.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:22 +0700] "POST /spring-mvc-hibernate/login HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:22 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:50:22 +0700] "GET /spring-mvc-hibernate/resources/css/login.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:51:04 +0700] "POST /spring-mvc-hibernate/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:51:05 +0700] "GET /spring-mvc-hibernate/student/info?student_id=1 HTTP/1.1" 200 13703
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:51:05 +0700] "GET /spring-mvc-hibernate/resources/css/studentInfo.css HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [02/Apr/2016:15:51:05 +0700] "GET /spring-mvc-hibernate/resources/js/studentInfo.js HTTP/1.1" 200 425
